OPPONENT,SEASON,TS%,PER,PTS,REB,AST,STL,BLK
TOR,2020-21,0.6631762652705061,9.0,19.0,7.0,6.0,0.0,0.0
TOR,2021-22,0.6428516194442138,15.5,33.0,9.0,5.0,0.0,2.0
TOR,2024-25,0.6142206520040273,21.5,23.0,8.0,13.0,1.0,0.0
UTA,2014-15,0.6139799368485763,8.0,28.5,5.0,6.5,3.5,0.0
UTA,2015-16,0.5882281893461394,13.0,27.0,9.5,5.5,1.5,0.0
UTA,2016-17,0.6441586280814576,14.5,31.0,8.0,5.5,3.0,0.5
UTA,2017-18,0.6645245050308342,17.0,29.0,9.5,8.0,1.5,0.5
UTA,2018-19,0.5541561712846347,14.0,22.0,10.0,7.0,2.0,1.0
UTA,2019-20,0.578260110647354,17.666666666666668,24.666666666666668,6.333333333333333,10.333333333333334,1.3333333333333333,0.3333333333333333
UTA,2020-21,0.6178861788617886,6.0,19.0,4.0,4.0,1.0,0.0
UTA,2021-22,0.6070726829353872,16.5,29.0,7.5,6.5,1.5,0.5
UTA,2022-23,0.5703559771159711,14.0,30.0,7.0,6.666666666666667,0.6666666666666666,1.0
UTA,2024-25,0.5218602135225875,11.0,26.5,3.5,13.0,0.0,1.0
WAS,2014-15,0.5777881786569149,10.0,26.333333333333332,6.333333333333333,6.0,1.6666666666666667,0.3333333333333333
WAS,2015-16,0.5468344480092687,14.666666666666666,25.666666666666668,12.0,5.333333333333333,1.6666666666666667,0.6666666666666666
WAS,2016-17,0.6314937779227628,19.333333333333332,27.666666666666668,9.333333333333334,10.0,1.3333333333333333,1.6666666666666667
WAS,2017-18,0.6347471661966083,22.25,35.5,10.0,11.0,1.25,0.75
WAS,2018-19,0.44687680026335286,8.5,18.0,6.5,8.5,0.5,0.5
WAS,2019-20,0.6784660766961652,16.0,23.0,3.0,11.0,2.0,1.0
WAS,2020-21,0.5094494658997535,14.0,31.0,9.0,13.0,1.0,0.0
WAS,2021-22,0.7462709988131105,24.0,44.0,8.5,6.0,0.0,0.5
WAS,2022-23,0.5566192207524303,13.5,31.0,7.5,7.5,0.5,0.5
WAS,2024-25,0.5509720246562352,17.5,22.5,6.5,12.0,1.0,0.5
